Target,Clues
ticklish,great tact
touchy,touchy subject great tact
herculean,herculean task hercules
nasty,nasty problem
tight,good man tight situation
rugged,competitive examination
rugged,frontier life
tough,tough life
tough,tough job
serious,serious objection
serious,serious flaw
tall,tall order
thorny,thorny question
troublesome,troublesome infection
troublesome,troublesome situation
easy,easy job
easy,easy problem
easy,easy victory
easy,easy answer
easy,easy way
casual,difficult feat casual mastery
casual,casual grace
clean,clean test flight
cushy,cushy job
easygoing,parttime consultant
soft,soft job
elementary,elementary problem
elementary,watson
simple,simple game
painless,painless solution hard work
smooth,bill path
courtly,courtly gentleman royal court
distinguish,person appearance eminent person
impose,monarch person appearance eminent person
magisterial,magisterial beauty person appearance eminent person
infra dig,infra dig
statesmanlike,statesmanlike judgment
unstatesmanlike,unstatesmanlike procedure
unpresidential,unpresidential behavior
diligent,diligent detective investigates
diligent,diligent search
negligent,negligent parent undue lack
negligent,undue lack
lax,lax slipshod way
inattentive,inattentive student due care
inattentive,inattentive babysitter due care
neglectful,neglectful parent due care
dilute,dilute solution
dilute,dilute acetic acid
washy,washy coffee
watery,watery milk
weak,weak tea
undiluted,racial strain
neat,whiskey neat alcoholic drink
saturate,organic compound available valence bond
unsaturated,valence bond
unsaturated,salt solution
diplomatic,sensitive matter
tactful,tactful way
appease,nazi munich
placatory,placatory speech
pacific,pacific policy
propitiatory,propitiatory gesture
antagonistic,antagonistic brusqueness
antagonistic,europe unites
direct,direct route spatial dimension
direct,direct flight spatial dimension
direct,direct hit spatial dimension
nonstop,nonstop flight atlanta
straightforward,straightforward gaze
undeviating,simple organism
,journey etc
indirect,indirect path spatial dimension straight line
indirect,indirect course spatial dimension straight line
sidelong,sidelong glance
devious,devious route straight course
circuitous,circuitous journey straight course
roundabout,roundabout route rush hour traffic straight course
meander,path e g
ramble,forest path path e g
wander,path e g
wind,country road path e g
direct,direct question straightforward
direct,direct response straightforward
direct,direct approach straightforward
bluff,pleasant manner
bluff,natural leader
blunt,england
candid,candid opinion
forthright,forthright criticism
forthright,forthright approach
brutal,brutal honesty
unvarnished,old people
square,square contradiction
allusive,allusive speech indirect reference
backhand,integrity roundabout
backhand,dishonest way goal roundabout
circumlocutious,forthright expression roundabout
circumlocutory,forthright expression roundabout
devious,devious mean proper way
oblique,oblique answer direct question proper way
oblique,political maneuver proper way
digressive,satirical thrust woman fashion main point wide range
discursive,discursive book main point wide range
ramble,discursive book main point wide range
excursive,main point wide range
ramble,main point wide range
mealymouthed,politician hesitant state fact
tortuous,tortuous reason
direct,direct proportion
inverse,inverse proportion
reciprocal,reciprocal ratio multiplicative inverse
immediate,immediate influence
direct,direct sunlight
direct,direct contact
direct,direct exposure
direct,direct link
direct,direct vote
mediate,direct contact
indirect,soft indirect light
indirect,indirect evidence
discern,keen insight good judgment
discreet,discreet aide wise self restraint
discreet,gold necklace wise self restraint
imprudent,imprudent remark wise self restraint
discriminate,fine distinction
promiscuous,clinton promiscuous solicitation campaign money
wholesale,wholesale destruction
discriminate,discriminate eye careful judgment
appreciative,beautiful landscape favorable critical judgment
appreciative,appreciative laugh favorable critical judgment
diacritic,superior diacritic power
discern,great subtlety
unselective,read habit
disposable,disposable paper cup
throwaway,throwaway diaper
returnable,returnable bottle
nonreturnable,nonreturnable bottle
nonreturnable,sale merchandise
disposable,disposable piece
disposable,disposable asset
available,july
usable,square foot usable office space
spendable,spendable income
frozen,frozen asset
proximal,proximal end
lateral,lateral lemniscus sagittal plane
distinct,distinct flavor
distinct,distinct odor
distinct,distinct silhouette
distinct,distinct fingerprint
clear,clear footprint
clear,clear image
clear,clear cut pattern
sharp,sharp photographic image
crisp,crisp snap dry leave underfoot
define,even sky
outline,set sun
knifelike,narrow knifelike profile distinct edge
indistinct,indistinct shape
indistinct,indistinct memory
indistinct,indistinct notion
blur,outline indistinct
blurry,blurry shape indistinct
nebulous,nebulous distinction definite form
unfocused,edge thing
diversified,musical program
varied,political party
varied,ethnic tradition
general,general study
general,general knowledge
monolithic,monolithic society
monolithic,monolithic worldwide movement
separable,siamese twin
severable,song
partible,partible estate
indivisible,indivisible union
indivisible,nation indivisible
indiscrete,indiscrete mass
document,shark attack
undocumented,necessary document
undocumented,tax deduction necessary document
authoritarian,timid child authoritarian parent
autocratic,autocratic person
autocratic,autocratic behavior
bossy,bossy way
magisterial,aloof magisterial way
peremptory,peremptory manner
roughshod,rode roughshod
oppressive,oppressive government unjust severity arbitrary behavior
oppressive,oppressive law unjust severity arbitrary behavior
tyrannical,tyrannical parent unjust severity arbitrary behavior
tyrannous,tyrannous disregard human right unjust severity arbitrary behavior
submissive,submissive servant inclination
submissive,submissive reply inclination
submissive,submissive people inclination
abject,abject apology
servile,servile tone submissive
servile,servile housekeeper submissive
servile,servile task barn work submissive
obsequious,obsequious shop assistant attentive servile manner
slavish,slavish devotion
dominant,television play dominant role public opinion
dominant,dominant partner
ascendant,ascendant class
dominate,day europe
predominant,predominant mood superior power
possessive,possessive parent
supreme,supreme tribunal
superior,superior opponent
superior,trust magnate
associate,associate member partial right subordinate status
associate,associate professor partial right subordinate status
dramatic,dramatic entrance
dramatic,dramatic rescue
melodramatic,melodramatic account perilous day emotional appeal
spectacular,spectacular dive cliff characteristic
undramatic,quiet force dramatic force
unspectacular,necessary task
actable,actable scene
unactable,unactable play
theatrical,theatrical pose
theatrical,theatrical figure public life
histrionic,histrionic gesture characteristic stage performance
melodramatic,melodramatic despair characteristic stage performance
stagy,stagy heroic
untheatrical,untheatrical play
untheatrical,untheatrical personality
bacchanalian,bacchanalian revelry
bacchanal,bacchanalian revelry
carouse,drunken soldier
orgiastic,orgiastic festivity
bibulous,bibulous fellow
bibulous,bibulous evening
boozy,thick boozy
drunken,drunken binge
drunken,drunken gentleman
sottish,sottish behavior
dry,complete abstinence alcoholic beverage
teetotal,complete abstinence alcoholic beverage
dull,sharp edge
blunt,blunt instrument
carnassial,carnassial teeth
incisive,incisive teeth
keen,keen blade
penetrative,toxic penetrative spray
sharpen,knife cut
sharp,sharp pain sharp edge
sharp,sharp edge
acute,acute pain
acute,acute annoyance
cut,sharp instrument
keen,sharp instrument
knifelike,sharp instrument
knifelike,knifelike pain sharp instrument
pierce,knifelike pain sharp instrument
pierce,sharp instrument
stab,sharp instrument
lancinating,sharp instrument
salt,salt apology
dull,dull pain
eventful,eventful day
lively,lively period
uneventful,uneventful life significant event
uneventful,significant event
lively,lively discussion
lively,attractive parent
lively,lively party
bounce,lively action
bouncy,bouncy tune lively action
peppy,interesting talk lively action
spirit,lively action
breezy,breezy nature
bubbly,high spirit
live,club member
warm,warm debate
arid,arid performance
desiccate,desiccate romance
bovine,bovine apathy
drab,drab personality
drab,excite life style overseas
dreary,dreary dinner party
heavy,heavy humor
leaden,leaden conversation
humdrum,humdrum existence
dynamic,dynamic market
dynamic,dynamic speaker
dynamic,dynamic president
drive,personal ambition
drive,innate enthusiasm
impulsive,impulsive force
propellant,propellant fuel
propulsive,jet plane propulsive efficiency
propulsive,university
slash,demon ridden cadenza
backward,backward country normal progress
eager,keen interest intense desire impatient expectancy
eager,eager helper keen interest intense desire impatient expectancy
eager,eager look keen interest intense desire impatient expectancy
anxious,new show
hot,great eagerness
uneager,colorless uneager thing
earless,earless seal external ear
early,early morning
early,early warning
early,early diagnosis
early,early death
early,early retirement
early,early spring
early,early variety standard variety
archeozoic,archeozoic life form precambrian
azoic,azoic rock
earlyish,earlyish hour
premature,premature death
premature,premature judgment
proterozoic,proterozoic life form precambrian
proto,proto protolanguage hypothetical ancestor
wee,wee hour
middle,middle year
middle,middle thirty
mid,mid june
late,late evening
late,late movie
late,late flight
late,late breakfast
ripe,old age
ripe,ripe age
early,early stage early stage
early,early form early stage
early,early man early stage
early,early computer early stage
archaic,archaic form ancestral type
primitive,primitive mammal ancestral type
primitive,primitive cousin ancestral type
crude,crude weapon agricultural implement early man early stage technical development
rude,crude weapon agricultural implement early man early stage technical development
primitive,primitive movie early stage technical development
primitive,appalachian early stage technical development
embryonic,embryonic government early stage
embryonic,embryonic nation early stage
precocious,precocious flower
late,late phase late period
late,late period
later,late period
late,medical science late period
later,medical science late period
tardive,tardive dyskinesia
modern,english current stage
new,hebrew israeli hebrew current stage
new,eqyptian medieval time
attain,achievement test score
unearned,unearned reward unearned criticism
unearned,unearned income
unearned,unearned run
honorary,honorary degree normal duty
apprehensive,possible misfortune danger etc
worried,small thing possible misfortune danger etc
precarious,precarious truce
eastbound,eastbound train
eastern,eastern city
eastern,eastern end
eastside,eastern part city e g manhattan
westbound,westbound pioneer
western,company western office
westside,upper westside manhattan western part
western,western world western part oriental part
western,western part oriental part
occidental,occidental civilization europe western hemisphere
hesperian,hesperian europe western hemisphere
oriental,oriental civilization far
midwestern,midwestern city ohio indiana illinois iowa missouri kansa nebraska michigan wisconsin minnesota
midwestern,midwestern accent ohio indiana illinois iowa missouri kansa nebraska michigan wisconsin minnesota
pyknic,practical joke
pareve,pareve margarine dietary law judaism
parve,dietary law judaism
know,extensive information
knowledgeable,knowledgeable critic extensive information
knowledgeable,knowledgeable audience extensive information
literate,computer literate
ignorant,ignorant man
nescient,contemporary literature
unlearned,complex issue
untaught,untaught people verbal skill
unstudied,particular field
operative,operative regulation
operative,major tendency operative american political system
operant,operant conscience
good,warranty good
operation,bus service
work,peace treaty
work,neighbor state interstate project
inoperative,inoperative law
dead,dead telephone line
defunct,defunct law
defunct,defunct organization
effective,effective teaching method
effective,effective step
effective,effective entrance
efficacious,efficacious law
trenchant,trenchant argument
impel,emotional pressure
impressive,impressive performance othello strong effect
tell,strong effect
ineffective,ineffective teacher
ineffective,ineffective legislation
toothless,toothless piece necessary force
arduous,arduous way physical effort
grueling,physical effort
hard,hard labor physical effort
heavy,heavy work physical effort
heavy,physical effort
laborious,laborious hour physical effort
punish,physical effort
leaden,leaden step
strenuous,strenuous task
effortless,effortless way busy air
facile,facile hand
unforced,undue effort
unstrained,undue effort
efficient,efficient production manager
efficient,efficient engine
economic,economic use
economic,modern economical
economical,modern economical
economic,economical use
economical,economical use
inefficient,inefficient campaign
inefficient,inefficient design
wasteful,wasteful process
wasteful,wasteful duplication
uneconomical,uneconomical ebb
forceful,forceful speaker
forceful,forceful personality
forceful,forceful measure
forceful,forceful plan
drastic,drastic measure forceful
firm,firm grasp
strong,strong pull
forcible,forcible entry physical force
physical,real cop physical force
impellent,impellent power
impetuous,violent force
sharp,sharp blow
forceless,forceless argument
elastic,elastic band original shape
elastic,elastic walk original shape
bouncy,clean bouncy hair elastic
live,lively tennis ball elastic
lively,lively tennis ball elastic
resilient,hickory elastic
springy,springy turf elastic
inelastic,inelastic price structure
dead,dead tennis ball
springless,springless step
elective,official subject popular election
electoral,electoral college
nonelective,nonelective office
appoint,guard duty
elective,elective surgery optional
elective,elective course study optional
ex gratia,ex gratia payment legal right
obligatory,obligatory contribution
bounden,bounden duty
compulsory,physical education
de rigueur,silk hat
indispensable,indispensable ceremony
elegant,elegant handwriting
elegant,elegant dark suit
elegant,small church elegant white spire
elegant,elegant mathematical solution
fine,fine wine
fine,easter
fine,fine gentleman
fine,fine china
fine,fine violinist
fine,fine hand
gauche,social polish
gauche,excellent manner social polish
homely,artificial refinement
eligible,retirement benefit
eligible,eligible bachelor
bailable,bailable defendant
suitable,son worthy
entitle,equal protection
line,checkout counter
legal,legal pas receiver official rule
pensionable,pensionable employee
ineligible,retirement benefit
emotional,usual emotion
charge,excitement fraught great emotion
charge,speech fraught great emotion
het,new tax
little,nice little job arouses feeling
little,arouses feeling
little,petty little schemes arouses feeling
lyric,dancer lyrical performance deep emotion
lyrical,dancer lyrical performance deep emotion
temperamental,temperamental opera singer subject
soulful,soulful eye deep emotion
soulful,soulful music deep emotion
dry,dry greet emotional involvement
dry,dry read emotional involvement
dry,dry critique emotional involvement
impassive,impassive remoteness
stolid,stolid indifference
philosophical,philosophical resignation meeting trouble
philosophic,philosophical resignation meeting trouble
philosophic,philosophic attitude meeting trouble
phlegmatic,phlegmatic undemonstrative man
stoic,stoic courage
stoic,stoic patience
stoic,stoical sufferer
stoical,stoical sufferer
unblinking,visible emotion
experimental,experimental result
theoretical,theoretical science practical consideration
theoretic,theoretical science practical consideration
abstractive,abstractive analysis
conjectural,adequate evidence
suppose,adequate evidence
suppositious,suppositious reconstruction dead language adequate evidence
hypothetical,hypothetical situation adequate evidence
hypothetic,hypothetical situation adequate evidence
metaphysical,metaphysical reasoning
theoretical,theoretical physic practical application
academic,academic discussion hypothetical practical result
academic,academic question hypothetical practical result
pure,pure science
apply,concrete problem fundamental principle
forensic,forensic photograph
forensic,forensic ballistics
practical,practical mathematics practical purpose
practical,practical application practical purpose
job,job day
unemployed,gainful occupation
idle,idle carpenter
jobless,jobless transient
disabuse,old idea universe revolve earth
encourage,encouraging advance medical research
encumber,heavy backpack heavy load
encumber,heavy load
burden,tree limb heavy weight
load,heavy weight
mire,brilliant leadership
mortgage,whole life financial obligation
clear,clear title
burden,paper work heavy burden
saddle,bill subject
saddle,power subject
endocentric,blind mice endocentric construction grammatical role
exocentric,easter exocentric construction grammatical role
decalescent,decalescent point certain point
energetic,energetic fund raiser
energetic,energetic group
energetic,energetic chemical reaction
physical,physical dance performance bodily activity
drive,young executive
indefatigable,indefatigable advocate equal right enthusiastic action
tireless,tireless worker enthusiastic action
unflagging,enthusiastic action
vigorous,vigorous hiker energetic action
vigorous,energetic action
vigorous,vigorous campaign energetic action
vigorous,vigorous foreign policy energetic action
vigorous,vigorous opposition energetic action
lethargic,cold night deficient
lackadaisical,lackadaisical attempt
languid,languid mood
languid,languid wave
languorous,hot languorous afternoon
exportable,exportable cultural achievement
marketable,marketable surplus
exploratory,exploratory operation
exploratory,exploratory reconnaissance
exploratory,mexico
exploratory,exploratory talk
alpha,alpha version hardware product
beta,beta version hardware product
beta,beta software hardware product
preliminary,preliminary investigation
wildcat,wildcat operation
wildcat,wildcat mine
wildcat,wildcat well
investigative,ascertain fact
inquisitive,inquisitive look
inquisitorial,inquisitorial power official investigation
inquisitorial,inquisitive interest ecclesiastical inquisitor
probe,inquiry diligent
search,past dealing diligent
enhance,good night sleep
hyperbolic,hyperbolic style
exaggerated,thick lenses abnormal degree
ablate,rocket head shield
diminish,musical interval minor musical interval
remittent,remittent fever
shrunken,dollar shrink buy power
irreducible,irreducible minimum
irreducible,irreducible formula
irreducible,irreducible hernia
unenlightened,social order
dark,dark age
dark,dark age
enterprising,foreign policy new project
enterprising,young man new project
enthusiastic,enthusiastic crowd great excitement
enthusiastic,enthusiastic response great excitement
enthusiastic,ballet lesson great excitement
ardent,ardent revolutionary strong enthusiasm
warm,warm support strong enthusiasm
avid,avid sport fan active interest
gaga,rock group new album
unenthusiastic,unenthusiastic performance
unenthusiastic,unenthusiastic applause
cold,cold audience feeling
cold,cold response new play feeling
halfhearted,effort feeling
lukewarm,lukewarm support candidate feeling
desirous,high office
desirous,quick solution
appetent,big rich appetent western city eager desire
avid,avid ambition
avid,esurient eye avid curiosity
esurient,esurient eye avid curiosity
undesirous,private man public office
entozoic,entozoic worm
epizoic,epizoic plant parasite exterior surface
equal,equal term
quits,equal term
uneven,vaudeville uneven battle
balance,proper equilibrium
balance,symphony orchestra proper equilibrium
balance,cultural history proper equilibrium
balance,man show proper equilibrium
poise,george
labile,labile person
equivocal,equivocal statement uncertain nature
equivocal,potential female candidate uncertain nature
ambiguous,potential female candidate uncertain nature
equivocal,officer equivocal behavior victim uneasiness uncertain nature
equivocal,equivocal crown uncertain nature
equivocal,equivocal response uncertain nature
double,sly double meaning
evasive,evasive statement
indeterminate,ambiguous nature
absolute,nation authority
effaceable,fire comprehensive program
ineradicable,ineradicable superstition
indelible,indelible stain
indelible,indelible memory
esoteric,esoteric philosophical theory inner circle
abstruse,professor lecture ordinary understanding
deep,deep metaphysical theory ordinary understanding
recondite,recondite problem ordinary understanding
arcane,arcane science mysterious knowledge
cabalistic,cabalistic symbol
cryptic,cryptic writing
mysterious,mysterious symbol ordinary understanding
mystic,mystical style blake ordinary understanding
mystical,mystical style blake ordinary understanding
occult,occult lore ordinary understanding
secret,secret learn ordinary understanding
exoteric,exoteric nature general public
biogenic,biogenic need fundamental life process
staple,staple crop
substantial,substantial argument real nature essential element
virtual,virtual dependence actual fact
virtual,virtual revolution actual fact
virtual,virtual reality actual fact
vital,vital organ essential function
vital,vital fluid essential function
vital,vital heat essential function
vital,vital spot essential function
accessorial,accessorial service
adscititious,adscititious vowel supplemental essential nature
accidental,character motif central importance
dispensable,dispensable item personal property
indispensable,good nutrition
critical,critical element
critical,critical medical supply
vital,healthy society
vital,vital interest
admirable,admirable precision
abject,abject cowardice contemptible kind
low,low stunt contemptible kind
low,low sneak contemptible kind
miserable,miserable treatment contemptible kind
miserable,miserable skunk contemptible kind
scummy,scummy rabble contemptible kind
scurvy,scurvy trick contemptible kind
pitiable,pitiable lack
pitiful,pitiful exhibition
ethical,ethical lawyer professional behavior
ethical,ethical medical practice professional behavior
ethical,ethical problem professional behavior
ethical,ethical objection professional behavior
unethical,unethical business practice professional behavior
complimentary,complimentary remark
laudatory,laudatory remark
derogatory,derogatory comment expressive low opinion
disparage,new house expressive low opinion
become,new shade
ingratiate,gain favor
uncomplimentary,uncomplimentary dress
euphemistic,peepee common euphemistic term
dysphemistic,dysphemistic term
flat,flat desk
level,level farmland
plane,plane surface
flat,skirt sew fine flat seam
flush,door flush
level,right angle
true,window frame
uneven,uneven color
uneven,uneven ground
uneven,uneven margin
uneven,uneven grain
lumpy,lumpy gravy
untrue,level floor untrue door
patchy,patchy essay irregular
patchy,patchy fog irregular
direct,direct quotation
verbatim,dialog verbatim
literal,literal depiction
mathematical,mathematical precision
perfect,perfect timing
approximate,approximate time
rough,rough guess
rough,rough estimate
loose,loose interpretation
free,free translation
odd,odd guest indefinite quantity
round,round number
convertible,convertible security equal value
cashable,cashable check ready money
cashable,ready money
redeemable,redeemable stock ready money
redeemable,redeemable coupon ready money
vicarious,vicarious atonement
incommutable,rare incommutable skill
unexcitable,unexcitable temperament
steady,steady nerve
crazy,inordinate excitement
crazy,new bicycle inordinate excitement
excite,excite account
breathless,breathless flight
electric,electric reading
galvanic,new leader galvanic effect
thrill,thrill performer
glamorous,glamorous movie star
unglamorous,unglamorous job
uninspired,spiritual excitement
accusative,accusative forefinger
accusatory,black accusatory
condemnatory,condemnatory decree
recriminatory,recriminatory argument
renewable,renewable energy solar energy
unfailing,good story
exhaust,food source
exhaust,oil well
leftover,leftover meatloaf
left,leftover meatloaf
left,odd dollar
odd,odd dollar
unexpended,financial resource
unspent,unspent allowance financial resource
existent,existent machinery
exist,beluga caviar soviet union iran
active,active tradition
absent,absent nonexistent
destitute,young recruit destitute
innocent,literary merit
extant,extant manuscript
living,active use
survive,wollemi australia long extinct
living,wollemi australia long extinct
survive,frontier blockhouse pennsylvania
extinct,extinct specie
extinct,royal family
extinct,extinct law
expectable,present information
unexpected,unexpected guest
unexpected,unexpected news
unforeseen,unforeseen circumstance
unseen,unseen problem
unhoped,unhoped piece
unthought,unthought advantage
unthought,unthought place
upset,upset victory houston unexpected defeat
inexpedient,inexpedient tactic
inadvisable,inadvisable action
expensive,expensive clothes high price
expensive,expensive shop high high price
costly,costly jewelry high price
dear,high price
pricey,pricey restaurant high price
overprice,resort shop
cheap,low price
inexpensive,inexpensive family restaurant low price
catchpenny,catchpenny ornament
dirt cheap,cheap property
fully fledge,rival party full status
veteran,veteran steadiness
veteran,veteran officer
new,new men
raw,raw recruit
unseasoned,artillery volunteer
untried,mural painting
young,young hand
unexpired,senator
unexpired,driver license
explicable,explicable behavior
explainable,explainable phenomenon
inexplicable,inexplicable error
inexplicable,inexplicable reason
cryptic,new insurance policy mysterious term obscure nature
mysterious,new insurance policy mysterious term obscure nature
deep,obscure nature
inscrutable,inscrutable working providence obscure nature
mystify,obscure nature
explicit,explicit instruction
explicit,explicit sexual scene
graphic,graphic sexual scene sexual activity graphic detail
implicit,implicit agreement
implicit,implicit criticism
silent,silent consent
tacit,tacit agreement
understood,custody agreement
unspoken,unspoken agreement
unexploited,natural resource
undeveloped,natural resource
undeveloped,undeveloped lot
fallow,gold market
expressible,expressible emotion
representable,form expressible symbolic form
indefinable,indefinable yearning
indescribable,indescribable beauty
ineffable,ineffable ecstasy
unspeakable,unspeakable happiness
unutterable,unutterable contempt
untellable,untellable splendor
extensile,extensile tongue
protractile,protractile muscle
inextricable,inextricable knot
inextricable,inextricable unity
unresolvable,unresolvable confusion
finger,giant tree
finger,cartoon character
digitate,digitate leave horse chestnut
expansive,expansive force
distensible,distensible organ
erectile,erectile tissue vascular sinus
erectile,erectile organ vascular sinus
inflatable,inflatable mattress
inflatable,inflatable boat
unexpansive,unexpansive body
extinguishable,extinguishable fire
inextinguishable,inextinguishable flame
inextinguishable,inextinguishable faith
external,external auditory canal
external,external pressure
outer,outer ear
outside,outside world
outside,outside job
internal,internal organ
internal,internal mechanism
internal,internal party
inner,inner ear
interior,interior region
internecine,internecine feud proxy holder
intrinsic,intrinsic muscle body part
outer,outer man
outer,outer suburb
,island outer
outside,outside lane outer edge
satellite,satellite community central authority
inner,inner room
innermost,innermost chamber
inside,inside lane outer edge
outward,outward beauty inward reflection physical reality
external,external composure
outer,outer reality
inward,inward reflection
innermost,innermost feeling
exterior,exterior scene
exterior,exterior grade plywood
exterior,exterior paint
,ship hull
outside,outside door
interior,interior scene
interior,interior decoration
interior,interior bathroom
indoor,indoor set
eyed,peacock
eyelike,eyelike marking wing
eyelike,eyelike gleam distant window
eyeless,eyeless fish dark cave
eyeless,eyeless needle
playable,playable lie
playable,baseball fan
playable,ball field
unplayable,golf ball unplayable lie
fair,fair ball base bag foul line
fair territory,fair territory base line
fair,fair referee
fair,fair fight
fair,fair mean
clean,clean fight fair play
sport,fair play
sportsmanlike,sportsmanlike conduct fair play
unfair,unfair method
unfair,unfair trial
unfair,unfair advantage
belt,illegal low blow
dirty,dirty fighter
unsportsmanlike,unsportsmanlike behavior
raw,raw treatment
equitable,equitable treatment
equitable,equitable distribution
honest,honest wage
fair,fair penny
inequitable,inequitable division
inequitable,inequitable taxation
faithful,faithful service steadfast
faithful,faithful employee steadfast
faithful,england faithful patriot lord chancellor steadfast
true,true believer
unfaithful,unfaithful lover
perfidious,juda treacherous character carthaginian
treacherous,treacherous character carthaginian
treacherous,treacherous intrigue treacherous character carthaginian
faithful,sexual relation
unfaithful,sexual relation
loyal,loyal subject steadfast
loyal,loyal friend
allegiant,force steadfast lawful monarch
doglike,doglike affection
liege,liege lord feudal allegiance
liege,liege subject feudal allegiance
disloyal,disloyal aide
mutinous,mutinous act
mutinous,mutinous thought
mutinous,mutinous speech
rebellious,rebellious confederacy
renegade,renegade supporter
errant,errant youngster right course
undependable,undependable generalization
weak,weak link
infallible,infallible antidote
infallible,infallible memory
infallible,catholic church considers pope
foolproof,foolproof identification system
inerrant,literary sense
familiar,familiar figure
familiar,familiar song
familiar,familiar guest
acquaint,fair knowledge
old,good old boy
old,old story
unfamiliar,unfamiliar surroundings
strange,strange word
strange,strange face
unacquainted,city way
unacquainted,city way
strange,strange exaltation bit weird
strange,strange fantastical mind bit weird
strange,strange sense bit weird
antic,hamlet antic disposition
fantastic,halloween
grotesque,grotesque reflection
crazy,crazy dream bizarre
crazy,crazy hat bizarre
eerie,eerie stillness
eerie,eerie midnight howl
exotic,exotic hair style
exotic,exotic variant
exotic,exotic landscape dead planet
freaky,whole experience
gothic,gothic novel frankenstein
quaint,quaint dialect word
quaint,quaint street orleans american city
quaint,quaint sense
familiar,familiar ordinary object normal everyday experience
familiar,familiar everyday scene normal everyday experience
familiar,familiar excuse normal everyday experience
familiar,familiar duty normal everyday experience
usual,usual greeting
garden,garden sparrow familiar type
everyday,familiar everyday world commonplace
fashionable,fashionable clothing current social fashion
fashionable,fashionable side current social fashion
fashionable,fashionable cafe current social fashion
cool,cool dude
cool,mary dress
dapper,dapper young man
jaunty,red hat
groovy,groovy clothes
,large shoulder pad
mod,modern skyscraper
modern,modern skyscraper
mod,modernistic design
modern,modernistic design
modernistic,modernistic design
swank,swank apartment
trendy,trendy idea
trendy,trendy clothes
voguish,voguish terminology
unfashionable,unfashionable clothes current fashion
unfashionable,unfashionable kind current fashion
antique,antique appearance
outmode,outmode idea
frumpish,year
prehistoric,prehistoric idea proper clothes
stylish,peter wimsey
stylish,stylish resort gstadd
chic,chic elegance
smart,new dress
classy,classy clothes
classy,classy dame
posh,posh restaurant
snazzy,snazzy outfit
styleless,styleless way
styleless,styleless country tweed
unstylish,unstylish clothes
dowdy,dowdy grey outfit
dowdy,dowdy room
fast,fast film
fast,fast track
fast,fast pace
fast,fast car
accelerate,academic course
alacritous,alacritous response
hot,hot sport car quick response great speed
blistering,quick response great speed
hot,hot start quick response great speed
hot,hot pursuit quick response great speed
hot,red hot line drive quick response great speed
express,express train unnecessary stop
express,express shipment unnecessary stop
hurry,great haste
scurry,great haste
immediate,immediate reply
straightaway,straightaway denial
meteoric,meteoric rise
quick,quick reaction
speedy,speedy resolution
speedy,speedy recovery
speedy,speedy trial
rapid,rapid rise brief period
rapid,rapid movement high speed
speedy,speedy car high speed
speedy,speedy errand boy high speed
smart,smart salute
smart,smart pace
windy,windy dash home
slow,slow walker
slow,slow lane
slow,steady growth
lazy,lazy river
lazy,lazy white cloud
lazy,lazy pace
sluggish,sluggish stream
fast,fast fox trot rapid tempo
slow,slow waltz slow tempo
fast,correct time
slow,correct time
fastidious,incisive intellect careful attention
fastidious,personal cleanliness careful attention
finicky,finicky eater
meticulous,meticulous craftsman extreme care
meticulous,business formality extreme care
persnickety,persnickety job excessive precision trivial detail
persnickety,persnickety school teacher excessive precision trivial detail
unfastidious,proper care
blubbery,coarse blubbery individual swollen
weighty,weighty man
porcine,bald porcine old man
portly,stout euphemism
stout,stout euphemism
thin,ca n excess flesh
gaunt,nightmare population gaunt men skeletal boy
skeletal,nightmare population gaunt men skeletal boy
waste,grim concentration
rawboned,cow hand bony physique
scarecrowish,forlorn scarecrowish figure
scrawny,long scrawny neck
bony,pale bony hand
slim,slim girl straight blonde hair
slight,slight figure cross
spare,spare figure marathon runner
adipose,adipose tissue constitutes
buttery,rich buttery cake
greasy,greasy hamburger unusual amount
oily,unusual amount
oleaginous,oleaginous seed unusual amount
suety,suety lamb chop
superfatted,toilet soap
nonfat,fat free milk fat solid
skim,skim milk milk product
skim,milk product
skim,milk product
mortal,mortal illness
deadly,certain death
lethal,lethal weapon certain death
lethal,lethal injection certain death
terminal,terminal patient
terminal,terminal cancer
nonfatal,nonfatal heart attack
curable,curable disease
incurable,incurable disease
incurable,incurable addiction
adverse,adverse current
favorable,favorable reply
favorable,favorable ear
favorable,favorable impression
approbative,approbative criticism
affirmative,affirmative nod
indulgent,indulgent attitude
unfavorable,unfavorable condition
unfavorable,unfavorable comparison
unfavorable,unfavorable comment
unfavorable,unfavorable impression
adverse,adverse circumstance contrary
untoward,untoward condition contrary
discriminatory,discriminatory attitude
invidious,invidious comparison
feathery,feathery congregation
feathery,feathery palm tree
plumaged,young bird
plumy,dog plumy tail
unfeathered,orpington
felicitous,felicitous speaker appropriate manner
congratulatory,congratulatory telegram expressive sympathetic pleasure success good fortune
gratulatory,congratulatory telegram expressive sympathetic pleasure success good fortune
congratulatory,usual congratulatory crowd absent expressive sympathetic pleasure success good fortune
gratulatory,usual congratulatory crowd absent expressive sympathetic pleasure success good fortune
gratulatory,gratulatory address expressive sympathetic pleasure success good fortune
happy,happy turn
infelicitous,infelicitous remark
infelicitous,illegible copy
unfortunate,unfortunate choice
unfortunate,unfortunate speech
rank,rank earth profuse growth
infertile,infertile couple
barren,barren woman
fin de siecle,siecle art
finish,final state
fatten,hog subject
fatten,pen subject
raw,raw wood
unhewn,unhewn grey stone
exhaustible,exhaustible reserve fossil fuel
